job_title,tujuan,degree,major,pengalaman,bahasa,kemampuan,peran/tanggung_jawab
Finance Staff,"Ensure that all necessary data and documents for financial transactions are completely available and that financial management runs smoothly. ","Bachelor's Degree","Accounting/Economics","Fresh Graduate","Active English","IT Skills; Company Product Knowledge; Understanding Company Business Processes; Financial Management Knowledge; Accounting Data Processing Skills; Financial Statement Analysis Skills; Oral and Written English Skills","Verify submissions of sales service invoices and insurance within the system; check the cost allocation consistency between asphalt units and sales notes; and ensure transactions follow established procedures; Audit the transaction invoice database to prevent payment errors; verify the completeness and compliance of fund requests; and route approvals to the respective branches; Input bank application forms for the issuance of Domestic Letters of Credit (SKBDN) or Letters of Credit (LC); update the LC/SKBDN registry in real-time; and ensure financial transaction data is properly recorded; Archive finance documents such as LCs/SKBDNs, fund requests, incoming mail, and outgoing mail in both digital (e-file) and hard copy formats; ensure documents are stored securely and completely; and support smooth financial administration; Study hazard identification within the work scope; take preventative measures against workplace risks; and ensure that financial transaction data and documents are fully available to support corporate financial management."
Accounting Staff,"Ensure the availability of accurate data regarding financial transaction reports across the entire company, compiled in reference to the Financial Accounting Standards Guidelines (PSAK).","Bachelor's Degree","Accounting","Fresh Graduate / Accounting Experience","Active English","Computer Skills; Understanding Business Processes; Basic Principles of Accounting, Auditing, and Taxation; Accounting and Financial Data Processing; English Language Proficiency","Ensure that the recording of financial transactions is conducted orderly and meticulously in accordance with the Financial Accounting Standards Guidelines (PSAK); record all transactions into the journal; and ensure that transaction data is accurately captured; Verify and analyze the input of cash disbursement transactions along with their supporting payment documents; coordinate with relevant departments or external parties if data discrepancies occur; and ensure the completeness of transaction documents; Ensure sales data alignment between the Asphalt Tracking System (ATS) and Oracle; print ledgers, bank statements, and accounts receivable registers; and verify that bank balances match the inputted data at the end of the month; Perform daily bank reconciliations; coordinate with the Administration Senior Supervisor upon discovering unusual transactions; and liaise with the Marketing department regarding customer receivable payments; Study hazard identification within the work scope; take preventative measures against workplace risks; and ensure that administrative and financial recording processes comply with company procedures."
Tax Staff,"Ensure that tax calculations are performed in accordance with tax laws and regulations.","Bachelor's Degree","Accounting","Fresh Graduate / Accounting and Taxation Experience","Active English","Mastering the Taxation System (e-spt, e-faktur, e-bupot); Understanding Company Business Processes; Understanding Tax Regulations; Knowledge of Tax Management Techniques; English Language Proficiency","Ensure tax calculations are performed accurately according to applicable tax laws and regulations; calculate corporate taxes such as PPh Article 25, PPh Article 4 Paragraph (2), PPh Article 15, PPh 23, and VAT (PPN); and ensure the company's tax compliance runs properly; Gather required data from Human Capital (HC), Legal, Marketing, and Operations departments for e-billing issuance and tax report compilation; update information regarding the latest tax regulations; and ensure tax data is complete and compliant; Execute tax payments and generate comprehensive, accurate, and timely corporate tax reports; control branch requests for tax invoice issuance; and receive as well as prepare tax withholding slips every month; Prepare the completeness of tax reporting files such as Annual Tax Returns (SPT), Taxable Entrepreneur Confirmation Letters (SPPKP), and Registered Certificates (SKT); coordinate with tax offices regarding reporting and tax payment confirmation; and hand over withholding slips to customers and employees; Ensure the company's tax documents and payment proofs are stored neatly and systematically; study hazard identification within the work scope; and take preventative measures against workplace risks according to company procedures."
Non Aspal Purchasing Staff,"Ensure that all procurement of goods required by the company is complete, including the purchase of raw materials, spare parts, machinery, and work equipment in accordance with the applicable SOPs.","Bachelor's Degree","All Majors","Fresh Graduate / 1 Year Experience in the Same Field","Active English","Computer Skills; Oral and Written English Skills; Understanding Company Business Processes; Inventory Management Knowledge; Strong Communication Skills; Ability to Process and Analyze Data; Negotiation Skills","Receive requests for goods and services from branches and the head office; register suppliers through the system; generate supplier selection analyses and vendor recommendations according to company needs; Input item requests from each user; create purchase orders based on branch and department requests; coordinate with relevant parties regarding recommended suppliers; Request price quotations and conduct negotiations with suppliers according to the budget; execute procurement schedules; and ensure that goods received from suppliers match purchase order specifications and are ready for use; Pack and distribute goods according to request lists and specified timelines; receive procurement invoices; arrange vendor payment schedules; and generate paying vouchers for supplier bills at the head office; Prepare procurement reports for non-asphalt goods and services for superiors; study hazard identification within the work scope; and take preventative measures to avoid workplace risks according to company SOPs."
Aspal Procurement Staff,"Process and document activities related to the effective and efficient supply of asphalt in accordance with company procedures.","Bachelor's Degree","All Majors","Fresh Graduate","Active English","IT Skills; Oral and Written English Skills; Understanding Company Business Processes; Inventory Management Knowledge; Strong Communication Skills; Ability to Process and Analyze Data; Broad-minded and Meticulous","Process and document asphalt supply activities effectively and efficiently according to company procedures; compile sales estimation data; and ensure the availability of daily Asphalt Terminal (TAC) stock reports and weekly Argus price index reports; Ensure Pertamina's asphalt selling price information is available at the beginning of the month; generate Purchase Requisition and Purchase Order documents for bulk asphalt procurement; and distribute asphalt purchase price info to related parties; Create and process supporting documents for redemption letters, indent transfers, and the issuance of Domestic LCs / LCs; process supporting documentation for vessel unloading; and ensure asphalt procurement administration runs efficiently; Ensure the inputting process of asphalt purchase activities (BASTA) into the ATS system; coordinate with Pertamina regarding the completeness of purchase documents; and coordinate with the Head Office marketing team regarding completed asphalt unloading activities; Study hazard identification within the work scope; take preventative measures against workplace risks; and ensure all asphalt procurement activities run according to company procedures."
Account Receivable Staff,"Ensure that all accounts receivable entries are recorded in an orderly manner and in accordance with standardization.","Bachelor's Degree","Accounting / Economics / Finance","Fresh Graduate","Active English","IT Skills; Company Product Knowledge; Understanding Company Business Processes; Financial Management Knowledge; Accounting Data Processing Skills; Oral and Written English Skills","Ensure that all accounts receivable entries are recorded in an orderly manner according to company standardization; control the completeness of transaction documentation such as contracts, addendums, guarantees, and payment deferral letters; and ensure accounts receivable administration runs smoothly; Ensure Term of Payment (TOP) rules are applied according to the invoice issuance date in the Oracle system; ensure the customer database for each branch is consistently updated; and maintain the accuracy of company customer data; Verify receivable balance alignments between the company and customers via customer calling; provide information regarding settlements or payments through WhatsApp blasts; and prevent any misappropriation of funds; Conduct aging accounts receivable analysis (AR bad debt); ensure receivable collection targets are met; and conduct weekly AR meetings with all branches to monitor overall collection progress; Study hazard identification within the work scope; take preventative measures against workplace risks; and ensure accounts receivable management runs safely and according to company procedures."
HSE Associates,"Ensure Occupational Health and Safety at Kalla Aspal runs in accordance with the applicable Laws and Regulations.","Bachelor's Degree","All Majors","1 Year Experience in the HSE Field","Active English","Must possess at least a General Occupational Health and Safety (K3 Umum) Certification; Strong Communication Skills; Computer Skills; Understanding Company Business Processes; Ability to Manage and Analyze Data","Ensure the use of Personal Protective Equipment (PPE) for all employees in hazardous areas; monitor safety plans, HIRADC, and IBPRP; and minimize workplace accidents in the TAC area; Establish K3 standardization within the TAC, Branch, and Head Office environments; ensure the P2K3 organizational structure is legalized by the Ministry of Manpower; and ensure K3 signage and first aid kits are available according to standards; Ensure Environmental Management and Monitoring Plan (RKL-RPL) documents are available at all TACs; ensure working environment testing is conducted every 6 months; and ensure the construction of Hazardous Waste Temporary Storage (TPS Limbah B3) and oil traps proceeds according to regulations; Conduct safety inductions, safety talks, safety meetings, safety patrols, and toolbox meetings; ensure job safety analyses, work permits, inspection checklists, and LOTO procedures run smoothly; and ensure all domestic and hazardous waste is controlled; Generate safe working hours reports, frequency rates, severity rates, and incident rates; study hazard identification and take preventative actions; and ensure all employees are registered in BPJS Ketenagakerjaan and BPJS Kesehatan according to regulations."
General Affair Staff,"Ensure the availability of employee work facilities, thereby supporting employee performance effectively.","Bachelor's Degree","All Majors","Fresh Graduate","Active English","IT Skills; Microsoft Office; Company Product Knowledge; Business Process Knowledge; General Affair Knowledge; Office Facilities Management; Office Inventarisation System","Ensure the availability of work facilities for both new and existing employees according to company regulations; monitor operational support infrastructure and facilities; and facilitate smooth employee workflows; Manage company asset data based on IT systems; securely store asset documents such as Vehicle Ownership Certificates (BPKB), copies of vehicle registration (STNK), and roadworthiness certificates (KIR); and generate office inventory procurement reports; Perform repairs on damaged company assets excluding technical equipment and fleets; create order forms for item purchases; and generate employee Official Travel Orders (SPPD); Process vehicle document renewals such as STNK and KIR that have reached their expiration date; process building and vehicle insurance renewals; and create paying vouchers for administrative and general expenses; Study hazard identification within the work scope; take preventative measures against workplace risks; and ensure company facilities and assets are well-managed in accordance with applicable procedures."
HCBP Staff,"Ensure the smoothness and completeness of administrative processes related to the compensation & benefits system, job evaluation processes, selection & recruitment, employee onboarding & offboarding, employee database completeness, and HCBP system maintenance in accordance with company rules and applicable manpower regulations.","Bachelor's Degree","Psychology / Law / HR Management","Fresh Graduate / 1 Year Experience in the Same or Related Field","Active English","IT Skills; Microsoft Office, Canva, Google Suites; HR System Data Entry and Filing System; Compensation & Benefits Administration System; Labor Laws and Regulations; Oral and Written English Skills","Verify employee expenses such as overtime, reimbursements, transportation, and internship stipends; generate paying vouchers for HCBP expenses; and create monthly employee expense summaries; Ensure the completeness of employee compensation & benefits data and information; update the database regarding new hires, mutations, promotions, demotions, terminations, and other status adjustments; and ensure every new employee has an Employee Self-Service (ESS) account; Complete, verify, and process administrative documents related to BPJS Kesehatan, BPJS Ketenagakerjaan, pensions, terminations, and supplementary health facilities; provide info regarding employment regulations; and issue Decree Letters (SK) for employee status changes; Execute new employee selection and recruitment processes; facilitate onboarding, offboarding, and contract employee evaluations; update job profiles and organizational structures; and coordinate with General Affairs regarding work tool requirements; Formulate and oversee the company's Culture Activation programs; execute Talent Review Meetings and ensure individual annual reports are available; engage in self-development through various learning methods; and study hazard identification and preventative actions within the workplace."
Legal Staff,"Ensure the execution of legal processes and the completeness of corporate legal requirements to support company business interests and protect corporate assets under the law.","Bachelor's Degree","Law","Fresh Graduate / 1 Year Experience in the Legal Field","Active English","IT Skills; English Language Proficiency; Understanding Company Business Processes; Understanding Company Laws and Labor Laws; Strong Communication and Negotiation Skills; Data Processing Knowledge; Possess a Certified Advocate Profession Education (PKPA) Certificate","Ensure the execution of legal processes and the fulfillment of corporate legal requirements; support company business interests; and provide legal protection for company assets; Manage company contracts and other legal documents; create and compile corporate legal document files and contracts; and ensure all legal documents are complete, valid, and properly documented; Review legal documents and company contracts; follow up and monitor document signing processes; and inventory deeds of establishment, articles of association amendments, and ministerial legal approvals of the company; Manage and secure company permits such as Business Identification Numbers (NIB), Spatial Planning Confirmations (PKKPR), Special Jetty Permits (TUKS), Building Approvals (PBG), Certificates of Functionality (SLF), Taxpayer Identification Numbers (NPWP), and other permits; process renewals for expired permits; and report documents and updates to the holding company accurately and completely; Resolve disputes or cases with third parties; draft chronologies, legal briefs, and legal opinions regarding cases; provide legal counsel up to case resolution; follow up on AR Recovery or overdue accounts receivable; verify physical and legal data of assets; and study hazard identification and preventative actions in the workplace."
